,Season,Team ID,TKey,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
116,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732015,2667,11.315,22,468,38,80,80,460,71,663,32,5205,2538,690
117,2015,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92015,1728,11.323,7,341,40,76,76,322,65,525,16,3646,1918,601
118,2015,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2015,2996,13.527,15,324,26,68,65,353,78,550,35,4775,1779,557
119,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82015,2208,12.195,16,310,23,80,80,333,52,472,34,4061,1853,599
120,2016,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242016,2060,11.364,8,297,22,84,84,286,33,459,17,3250,1190,397
121,2016,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062016,1920,11.759,16,306,20,74,74,316,23,467,27,3716,1796,725
122,2016,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32016,2042,11.72,12,338,35,69,69,311,31,546,16,3645,1603,567
123,2016,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2016,2150,12.109,32,366,26,79,79,368,37,546,32,4456,2306,741
124,2016,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232016,2386,11.555,10,367,26,86,86,364,25,542,18,4206,1820,538
125,2016,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2016,1999,10.926,24,343,36,58,31,338,29,558,15,3693,1694,577
126,2016,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2016,2247,9.893,23,462,41,95,95,439,28,665,20,4343,2096,708
127,2016,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982016,2394,11.488,14,384,38,72,72,381,34,590,33,4377,1983,395
128,2016,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92016,2691,12.138,11,369,37,64,64,370,27,572,32,4491,1800,465
129,2016,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2016,2077,10.637,21,391,37,51,51,369,32,623,24,3925,1848,606
130,2016,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72016,2044,9.85,16,370,33,53,44,347,26,577,15,3418,1374,426
131,2016,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152016,2399,12.117,18,321,20,60,48,307,36,490,29,3720,1321,418
132,2016,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02016,2338,11.546,18,350,22,76,76,339,30,556,20,3914,1576,517
133,2016,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22016,1849,10.723,29,363,37,80,80,365,29,536,19,3914,2065,677
134,2016,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12016,2252,10.916,17,398,47,75,75,379,33,589,29,4137,1885,683
135,2016,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602016,2154,11.689,22,327,18,83,83,325,34,479,25,3799,1645,433
136,2016,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802016,2030,9.995,18,407,39,73,73,380,36,604,16,3798,1768,550
137,2016,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2016,2016,10.682,29,409,43,75,75,377,31,597,26,4027,2011,770
