,Player Season,Player ID,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
120,2013,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,43,5.233,0,7,26,9,8,0,0,0,3,225,127
121,2013,0847010c-9a77-4f0b-9d63-c8b4b224d263,3,0.667,0,2,4,0,0,0,0,0,0,2,11
122,2013,f7841baa-9284-4c03-b698-442570651c6c,7,5.429,0,0,11,0,0,0,0,0,0,38,22
123,2013,0045a36c-f464-49e0-a25a-9210edc94bc1,14,3.714,0,7,29,0,1,0,0,0,0,52,17
124,2013,2fda010a-8c62-4c07-b601-4ba03f57e6af,76,5.671,0,12,26,5,13,0,1,-2,1,431,71
125,2013,aca06a5e-0e3a-4285-a025-199f8fa0376f,259,4.969,0,0,46,31,42,0,12,-23,12,1287,578
126,2013,e033ce15-9fc5-430b-90e2-90dfe52b21c1,2,1.5,0,0,2,0,1,0,0,0,0,3,2
127,2013,5a20a439-bebc-4ef7-8b9f-30e1d677a26b,3,2.0,0,0,4,0,0,0,0,0,0,6,2
128,2013,adadafa1-dc37-486d-8538-7db1e1b5f71e,5,4.6,0,0,19,0,0,0,0,0,0,23,2
129,2013,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,83,6.94,0,4,93,93,6,0,10,-34,2,576,147
130,2013,d2cad5f8-b35f-4cf4-9567-57c387ba6225,2,8.5,0,0,9,0,0,0,0,0,0,17,8
131,2013,3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e,3,1.333,0,0,5,0,1,0,1,-3,0,4,8
132,2013,5ed2cea8-e0c6-482c-9ee1-548c06612226,1,6.0,0,0,6,0,0,0,0,0,0,6,1
133,2013,166292fc-629e-4c7b-b7bf-f572ca9eeb43,314,5.118,0,0,57,57,38,0,33,-91,9,1607,748
134,2013,3e618eb6-41f2-4f20-ad70-2460f9366f43,3,0.667,0,0,8,0,1,0,1,-10,0,2,1
135,2013,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,57,3.877,0,15,21,4,15,0,1,-4,3,221,38
136,2013,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,2,-1.0,0,2,-1,0,0,0,0,0,0,-2,0
137,2013,6cb6226e-f08c-4192-95f1-69709ed686c6,18,2.0,0,9,14,0,0,0,0,0,0,36,46
138,2013,8dfb370d-460c-4bfc-9d62-888687248783,86,5.686,0,3,26,0,10,0,3,-7,0,489,139
139,2013,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,2,9.5,0,0,10,0,0,0,0,0,0,19,3
140,2013,b030b668-0f41-484f-8e94-9fc576b8af63,3,-1.333,0,0,9,0,0,0,2,-13,0,-4,3
141,2013,bbd0942c-6f77-4f83-a6d0-66ec6548019e,4,3.5,0,0,6,0,1,0,0,0,0,14,6
142,2013,bd10efdf-d8e7-4e23-ab1a-1e42fb65131b,276,4.62,0,0,45,45,32,0,29,-51,7,1275,748
143,2013,c3bf8d3e-3b2e-4f9e-ad74-c0a684035f17,1,18.0,0,0,18,0,0,0,0,0,0,18,1
144,2013,5c529c33-8a1d-413a-b635-880ac86f30c1,16,6.563,0,0,38,0,0,0,4,-19,0,105,42
145,2013,a261fd0a-b096-4db7-bd51-2f13bde485da,13,5.308,0,3,20,7,3,0,1,-3,1,69,26
146,2013,62d4e94c-443f-44ed-9404-c6d6bdd9aa64,9,2.778,0,0,7,2,1,0,1,-4,1,25,17
147,2013,ade43b1a-0601-4672-83b6-d246bc066a19,37,1.865,0,10,14,1,5,0,1,-5,2,69,34
148,2013,0ce48193-e2fa-466e-a986-33f751add206,30,4.0,0,9,18,0,7,0,0,0,0,120,37
149,2013,3283f152-d373-43b3-b88f-f6f261c48e81,4,19.5,0,0,67,0,0,0,0,0,0,78,11
150,2013,8263e101-aa33-435f-bf0f-388e1c4eeb59,18,3.167,0,5,13,6,4,0,0,0,1,57,20
151,2013,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,279,4.538,0,0,78,78,36,0,30,-80,10,1266,829
152,2013,da85107c-365c-4d58-90ab-479d97d798b4,12,13.167,0,0,50,50,0,0,1,-6,3,158,119
153,2013,5c2a0c83-e18a-43dd-bd65-704771157e42,127,3.591,0,0,28,5,6,0,17,-37,1,456,274
154,2013,e1235f1e-26ce-438c-8168-3b1ded4ab893,27,1.37,0,9,16,0,0,0,0,0,0,37,30
155,2013,0b3217b9-ba37-4222-95cb-a7a222441e8b,1,7.0,0,0,7,0,0,0,0,0,0,7,0
156,2013,7e648a0b-fdc8-4661-a587-5826f2cac11b,17,3.235,0,7,17,0,1,0,0,0,0,55,38
157,2013,91a95850-9514-49d5-b2b0-f8e21156daa0,96,3.458,0,0,19,19,15,0,15,-31,2,332,192
158,2013,214e55e4-a089-412d-9598-a16495df0d25,111,5.27,0,11,56,8,20,0,9,-20,6,585,343
159,2013,3aef6950-1c19-4454-a3d0-0afe9634ea9f,4,7.25,0,0,14,0,0,0,1,-3,0,29,6
160,2013,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2,7.5,0,0,9,0,2,0,0,0,0,15,8
161,2013,5ec072b3-2837-4cf1-bb4f-ecd873949626,6,1.167,0,0,2,0,3,0,0,0,0,7,11
162,2013,72fbe462-91c5-4c84-9640-e8ad7cad6447,5,0.0,0,4,2,0,1,0,0,0,0,0,1
163,2013,96a1fc85-5af7-49fa-a5ac-ddc06c205ced,48,3.75,0,0,16,0,5,0,5,-7,0,180,123
164,2013,15b156b5-30cc-4070-b60a-1c09e62c5a9b,53,4.151,0,0,38,5,10,0,3,-7,2,220,81
165,2013,4734f8dc-2ca4-4437-88f2-c8b8974abefc,3,3.333,0,0,4,0,0,0,0,0,0,10,2
166,2013,687cdc33-bd0d-4b70-adb3-33f97dc26a3c,1,-8.0,0,0,-8,0,0,0,1,-8,0,-8,0
167,2013,bb5957e6-ce7d-47ab-8036-22191ffc1c44,35,1.486,0,19,16,9,5,0,3,-18,3,52,12
168,2013,f336567d-44a9-4245-8452-1dd485fd70fb,78,4.949,0,0,34,4,13,0,7,-13,1,386,188
169,2013,3699dfd9-d437-43f7-b674-adbb31e7e64b,6,-1.0,0,6,-1,0,3,0,0,0,0,-6,0
170,2013,6a2b129d-a9e5-4131-b491-82269b323f77,276,4.087,0,0,51,34,57,0,36,-77,9,1128,552
171,2013,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,2,4.0,0,0,4,0,0,0,0,0,0,8,1
172,2013,409d4cac-ee90-4470-9710-ebe671678339,96,5.615,0,15,27,10,16,0,4,-11,1,539,176
173,2013,63fd9abe-4bdf-4611-9497-0c67e030ce01,77,3.429,0,0,15,0,4,0,7,-18,0,264,166
174,2013,82bce0be-9a87-4b6d-a85b-623bf8d1674e,301,4.176,0,0,43,14,56,0,36,-88,12,1257,752
175,2013,bbb63a36-8613-4675-8e5e-34200d245ff0,3,3.333,0,0,5,0,3,0,0,0,0,10,4
176,2013,c88d9352-b835-45ed-a909-1cfec09a58bc,3,10.333,0,0,20,0,0,0,0,0,0,31,25
177,2013,cf8e8522-6220-4612-a8a1-72c496dac536,18,4.389,0,0,13,0,1,0,3,-10,0,79,45
178,2013,e0a63251-5428-43a1-88c1-c000215ac5ce,2,1.5,0,0,4,0,0,0,1,-1,0,3,10
179,2013,e1b29179-074b-4c91-8797-763b76ac618a,2,3.0,0,0,3,0,1,0,0,0,0,6,1
180,2014,7d80b51f-1462-442e-aa7f-8c320a62deed,2,4.0,0,0,5,0,0,0,0,0,0,8,3
181,2014,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,3,2.667,0,0,12,0,0,0,1,-8,0,8,0
182,2014,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,2,-2.0,0,0,4,0,0,0,1,-8,0,-4,2
183,2014,5812204c-6dae-4450-8011-99e0f72864ac,56,5.554,0,14,40,1,7,0,4,-14,1,311,123
184,2014,90908a56-901b-466d-8689-943075da96fe,36,3.389,0,0,19,0,11,0,7,-11,0,122,68
185,2014,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,1,3.0,0,0,3,0,0,0,0,0,0,3,2
186,2014,a212c5d8-67f8-48b9-99be-2c121ee56366,216,5.088,0,0,97,97,44,0,21,-62,8,1099,486
187,2014,b37b5be9-4771-4368-988f-fb936f4fc0ad,4,4.0,0,0,12,0,1,0,0,0,0,16,2
188,2014,4a38cda2-e92f-47f8-b324-0c34e09d83f2,33,4.273,0,0,15,3,6,0,1,-1,1,141,61
189,2014,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,198,4.146,0,0,71,71,33,0,25,-44,6,821,487
190,2014,769d7178-df4e-4127-8166-8116165921e8,4,21.5,0,0,37,0,1,0,0,0,0,86,11
191,2014,97c96dce-9b33-4d0e-ba01-5eb629192d19,1,3.0,0,0,3,0,0,0,0,0,0,3,2
192,2014,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,59,4.034,0,3,18,1,9,0,3,-5,1,238,98
