,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,74,4.335,42.946,46.676,0,320.816,29,67,3178,176,5,3454
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,59,4.434,39.085,42.559,0,261.61899999999997,28,79,2306,165,2,2511
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,85,4.631,41.718,47.671,0,393.6300000000001,28,63,3546,386,6,4052
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,80,4.486,39.475,46.25,0,358.87199999999996,26,63,3158,462,4,3700
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,96,4.369,38.552,47.219,0,419.399,24,64,3701,612,11,4533
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,88,4.472,40.341,47.443,0,393.49999999999994,34,61,3550,605,1,4175
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,85,4.362,39.494,43.576,0,370.75100000000003,22,62,3357,247,5,3704
103,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22015,75,4.36,40.84,44.44,0,327.026,37,62,3063,170,5,3333
104,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12015,84,4.341,41.157,44.542,1,360.29,40,70,3416,201,4,3697
105,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602015,69,4.467,42.536,45.174,0,308.20200000000006,27,61,2935,162,1,3117
106,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802015,88,4.404,42.593,46.953,2,378.726,29,64,3663,215,8,4038
107,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2015,76,4.279,38.947,44.474,0,325.196,33,64,2960,300,6,3380
108,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242015,71,4.505,40.371,46.057,1,315.32000000000005,21,64,2826,258,7,3224
109,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82015,74,4.412,40.096,44.288,1,322.09400000000005,29,72,2927,226,4,3233
110,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2015,80,4.531,41.95,45.988,0,362.47799999999995,25,66,3356,263,3,3679
111,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322015,81,4.209,40.284,43.914,0,340.896,18,62,3263,174,6,3557
112,2015,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522015,66,4.288,37.788,41.606,0,283.02000000000004,23,61,2494,152,5,2746
113,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692015,56,4.482,38.0,41.929,0,250.975,15,60,2128,140,4,2348
114,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292015,59,4.484,41.086,47.155,1,260.06100000000004,24,69,2383,272,4,2735
115,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142015,70,4.483,39.814,45.357,0,313.83700000000005,20,65,2787,288,5,3175
116,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732015,67,4.351,39.866,44.866,0,291.52099999999996,25,58,2671,215,6,3006
117,2015,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92015,92,4.382,39.5,43.663,0,403.174,31,62,3634,283,5,4017
118,2015,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2015,61,4.523,36.0,42.917,1,271.352,22,58,2160,295,6,2575
119,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82015,68,4.409,37.926,45.662,0,299.82700000000006,24,73,2579,386,7,3105
120,2016,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242016,75,4.285,38.147,42.44,0,321.407,20,58,2861,262,3,3183
121,2016,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062016,90,4.262,39.9,44.344,0,383.61499999999995,32,66,3591,300,5,3991
122,2016,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32016,76,4.317,37.827,43.147,1,323.742,24,59,2837,319,4,3236
123,2016,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2016,72,4.213,41.431,44.681,0,303.301,23,57,2983,134,5,3217
124,2016,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232016,78,4.154,39.538,46.321,0,324.023,23,72,3084,369,8,3613
125,2016,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2016,83,4.305,40.301,45.313,0,357.343,22,65,3345,376,2,3761
126,2016,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2016,80,4.291,39.875,45.813,0,343.313,37,68,3190,375,5,3665
127,2016,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982016,69,4.342,40.75,45.588,1,295.22299999999996,25,64,2771,269,3,3100
128,2016,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92016,56,4.402,43.491,49.291,1,242.13699999999997,19,74,2392,139,9,2711
129,2016,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2016,77,4.484,39.481,46.61,0,345.293,27,78,3040,389,8,3589
130,2016,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72016,72,4.28,40.083,47.542,0,308.193,30,62,2886,477,3,3423
