,Season,Team ID,TKey,Pass Air Yds,Pass Attempts,Pass Avg Pocket Time,Pass Poor Throws,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,2355,536,0,0,7.95,120,65.112,349,0,33,4447,0,6,0,80,80,4261,0.0,109,96,186,30,0,22,38,4261
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,1730,517,0,0,6.275,181,62.282,322,0,30,3566,0,18,0,87,87,3244,0.0,79,41,322,51,0,23,17,3244
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,2469,531,0,0,6.209,212,56.685,301,0,28,3623,0,20,0,56,56,3297,0.0,75,51,326,52,0,21,21,3297
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,2659,632,0,0,7.204,190,66.139,418,0,34,4758,0,15,0,79,74,4553,0.0,93,60,205,31,0,19,28,4553
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,2401,545,0,0,6.442,209,60.0,327,0,27,3828,0,12,0,51,47,3511,0.0,86,53,317,42,0,11,23,3511
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,2779,659,0,0,7.229,178,69.196,456,0,31,4952,0,17,0,69,69,4764,0.0,97,83,188,30,0,24,33,4764
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,2014,487,0,0,6.29,164,59.959,292,0,34,3407,0,10,0,80,80,3063,0.0,86,43,344,52,0,27,20,3063
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,2386,568,0,0,6.704,189,56.338,320,0,34,3990,0,12,0,81,81,3808,0.0,81,60,182,28,0,18,21,3808
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,1611,454,0,0,7.159,189,63.216,287,0,19,3492,0,7,0,80,80,3250,0.0,95,57,242,42,0,38,20,3250
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,2306,465,0,91,7.742,139,63.441,295,43,26,3600,108,9,37,63,58,3343,1265.3789999999997,95,39,257,42,1,10,23,3343
