Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
d6d41a89-a8af-48b9-bf75-561de99a1d87 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,0,0,0,1,0,0,0,0
fb3b36fc-b985-4807-8199-d038d7e62a93 2015 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,0,3,1,0,0,0,0,0
67d56171-7522-430c-b7d9-8f7e2b6624d3 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,0,0,1,1,0,0,0
7e648a0b-fdc8-4661-a587-5826f2cac11b 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,0,0,2,1,0,0,0,0,0
8482bc94-0eb0-4e92-8f99-ced135f3cd5d 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,1,0,0,0,0
bb5957e6-ce7d-47ab-8036-22191ffc1c44 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,1,0,0,0,0,0,0
f336567d-44a9-4245-8452-1dd485fd70fb 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,0,0,1,1,0
a735765c-3ca8-4557-b06e-a30fd415982c 2015 f0e724b0-4cbf-495a-be47-013907608da9,0,0,0,0,1,1,0,0,0
409d4cac-ee90-4470-9710-ebe671678339 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,3,0,0,0,0,0,0
488c3707-26ee-4e1a-8742-494a06f77801 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,0,0,1,0,0
7e5b8212-df93-4069-b3f0-be4b5cb47389 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,1,0,0,0,0
82bce0be-9a87-4b6d-a85b-623bf8d1674e 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,0,0,1,1,0
fd85786d-3900-4dc0-9b30-334ee30413ed 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,1,0,0,0,0
166292fc-629e-4c7b-b7bf-f572ca9eeb43 2016 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,0,0,1,1,0
7f3ef024-eb34-46af-8b9e-544cdf09378f 2016 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,1,1,0,0,1,1,0
c257b2e6-dfc9-45c8-b30c-a497f2ce82a2 2016 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,1,1,0,0,0
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2016 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,2,1,0,0,0
5812204c-6dae-4450-8011-99e0f72864ac 2016 4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,2,1,0,0,0,0,0
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2016 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,1,1,0,0,0
39f70428-a78a-494c-8676-438d953c289e 2016 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,1,0,0,0,0
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2016 97354895-8c77-4fd4-a860-32e62ea7382a,0,0,2,1,0,0,0,0,0
573f7acc-376b-4f37-8039-5c4c15c4a508 2016 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,2,1,0,0,0,0,0
a261fd0a-b096-4db7-bd51-2f13bde485da 2016 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,1,1,0,0,0,0,0
af48c3f0-040b-40f9-95ab-6ebcb4c16cf8 2016 d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,0,0,0,2,1,0,0,0
64797df2-efd3-4b27-86ee-1d48f7edb09f 2016 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,5,4,0,0,0,0,0
67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6 2016 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,0,0,1,1,0,0,0
b37b5be9-4771-4368-988f-fb936f4fc0ad 2016 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,0,0,0,1,1,0,0,0
16e33176-b73e-49b7-b0aa-c405b47a706e 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,3,0,0,0,0
a37a5bfd-b48c-4d8b-817a-d8ce7ca3592d 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0,0,0,1,0,0,0,0
