Key,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,307,0,903,360,569,20,11,155,14,57,0,0,10,18,104,73,80,268.0,40.0,0,8,0,2,5,41,596,66.0,278.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,253,0,893,343,552,10,5,157,12,41,0,1,6,22,144,57,68,188.0,34.0,2,9,0,0,1,60,640,64.0,255.0
f0e724b0-4cbf-495a-be47-013907608da9 2014,170,0,816,324,562,10,6,181,23,45,1,0,5,16,91,83,79,196.0,36.0,0,13,1,0,1,72,646,76.0,304.0
de760528-1dc0-416a-a978-b510d20692ff 2014,152,0,835,363,554,7,6,196,18,53,0,0,7,14,118,62,83,244.0,35.0,0,9,3,2,3,66,683,86.0,361.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,249,0,831,309,497,15,7,180,13,55,0,0,13,12,100,65,85,226.0,37.0,1,18,2,3,4,49,582,82.0,343.0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,232,416,854,355,622,5,4,138,17,57,0,1,13,12,108,93,75,125.0,21.0,1,15,0,3,6,73,622,52.0,165.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,250,196,957,362,567,8,3,138,13,61,0,0,10,13,138,71,89,225.0,31.0,0,23,1,0,2,62,707,93.0,368.0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,298,510,867,355,625,13,10,177,18,91,0,1,6,15,108,77,116,270.0,39.0,0,23,0,1,2,72,569,61.0,281.0
97354895-8c77-4fd4-a860-32e62ea7382a 2015,291,325,927,384,638,20,8,170,12,49,0,0,6,8,112,85,94,358.0,49.0,1,14,1,2,1,59,636,73.0,378.0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,265,233,911,436,681,10,6,203,21,70,4,0,6,10,126,87,110,288.0,42.0,0,38,2,0,4,61,646,71.0,345.0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,296,274,899,328,528,14,10,132,11,42,0,0,8,20,117,54,71,157.0,29.0,0,28,1,0,1,64,603,63.0,246.0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,286,380,894,361,557,7,7,142,6,58,0,0,5,17,115,65,94,220.0,37.0,0,0,5,1,1,44,608,83.0,283.0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,268,486,943,406,653,14,10,193,17,46,0,0,6,22,157,81,96,303.0,48.0,0,16,2,2,6,67,675,86.0,397.0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,315,495,943,357,603,12,7,161,17,53,0,0,4,24,123,78,85,251.0,35.0,1,13,0,1,4,34,628,77.0,342.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,235,247,932,401,622,14,8,136,9,44,0,0,11,15,141,73,76,237.0,36.0,0,14,3,0,3,58,697,84.0,323.0
82d2d380-3834-4938-835f-aec541e5ece7 2015,270,324,860,345,592,10,9,155,14,63,0,0,9,15,111,90,106,311.0,45.0,0,39,1,2,7,81,590,83.0,358.0
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,275,478,873,343,535,7,4,134,11,37,0,0,8,23,97,58,71,271.0,39.0,0,16,1,4,5,59,598,65.0,290.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,206,592,864,347,588,19,10,196,14,68,0,1,6,26,99,83,123,351.0,52.0,1,15,2,2,5,54,658,86.0,391.0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,157,372,822,360,626,13,6,188,22,41,0,0,5,11,125,93,86,290.0,47.0,1,8,2,0,3,67,665,80.0,325.0
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,186,408,912,421,667,13,9,166,14,42,2,0,10,13,137,90,78,211.0,38.0,2,10,5,1,4,61,726,83.0,307.0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,310,154,947,339,511,5,2,126,8,52,4,0,6,19,127,54,76,229.0,31.0,1,15,3,1,2,39,637,80.0,318.0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,255,294,974,414,671,17,9,170,15,50,0,1,11,21,149,82,83,243.0,37.0,1,11,1,0,2,69,719,77.0,325.0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,300,298,1067,443,676,17,11,162,15,63,0,0,9,14,141,87,84,137.0,23.0,1,22,3,1,5,78,767,59.0,218.0
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,353,215,959,379,604,21,15,179,11,46,2,0,9,13,150,61,82,260.0,38.0,1,19,1,1,1,53,606,62.0,271.0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,165,269,813,324,515,6,6,193,8,57,0,0,8,14,125,53,93,237.0,35.0,0,15,2,0,4,57,648,58.0,302.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,204,265,890,383,556,17,8,174,9,57,2,0,5,18,123,62,104,279.0,43.0,2,8,0,0,2,71,686,98.0,368.0
