Key,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,492,5.346,20,6,75,75,57,51,57,-154,29,2630,1154
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,405,4.504,35,5,62,62,25,14,51,-118,14,1824,1055
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,418,4.311,22,6,35,35,26,26,39,-74,10,1802,790
97354895-8c77-4fd4-a860-32e62ea7382a 2016,482,3.884,25,19,44,43,44,21,41,-71,19,1872,868
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,446,3.966,19,9,74,74,31,22,37,-97,17,1769,889
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,350,4.891,17,2,85,85,24,26,46,-106,13,1712,824
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,367,3.986,18,12,41,18,13,9,38,-77,10,1463,784
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,409,4.303,16,15,60,60,20,3,26,-73,13,1760,685
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,409,3.98,8,18,33,14,23,42,22,-41,13,1628,678
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,392,4.1610000000000005,17,6,57,57,15,35,43,-94,8,1631,750
82d2d380-3834-4938-835f-aec541e5ece7 2016,456,4.077,17,13,45,24,20,18,34,-82,8,1859,825
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,476,4.595,27,12,75,75,25,27,44,-96,16,2187,935
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,410,3.62,8,14,64,28,17,20,42,-73,11,1484,762
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,412,4.243,21,20,70,70,25,22,43,-101,15,1748,809
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,434,4.428999999999999,14,19,75,75,24,17,31,-77,17,1922,900
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,499,4.802,21,16,60,60,25,28,40,-102,24,2396,985
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,438,4.138999999999999,18,11,30,25,38,19,53,-120,16,1813,905
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,398,3.548,12,18,25,2,10,3,34,-68,6,1412,723
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,379,4.475,15,13,66,61,30,9,34,-81,17,1696,1058
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,380,4.566,19,7,69,9,16,5,33,-70,10,1735,865
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,350,3.7430000000000003,20,8,42,21,14,25,48,-109,9,1310,844
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,374,4.548,18,18,61,42,19,44,37,-71,11,1701,731
33405046-04ee-4058-a950-d606f8c30852 2016,380,3.1710000000000003,13,15,36,10,28,8,46,-102,9,1205,474
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,453,3.5669999999999997,18,16,45,44,15,29,54,-114,8,1616,780
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,421,4.58,19,13,75,75,29,16,49,-114,20,1928,809
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,453,4.004,29,5,47,12,33,13,38,-90,16,1814,887
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,404,4.312,19,12,75,75,26,3,24,-50,17,1742,780
f0e724b0-4cbf-495a-be47-013907608da9 2016,458,4.408,17,7,47,13,24,53,52,-110,15,2019,803
de760528-1dc0-416a-a978-b510d20692ff 2016,399,4.341,12,7,58,58,38,4,39,-89,20,1732,799
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,375,3.339,18,10,30,30,21,11,45,-122,9,1252,752
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,403,3.948,19,16,75,75,17,35,46,-117,13,1591,670
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,487,4.1419999999999995,11,16,48,48,18,45,67,-166,12,2017,856
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,360,3.8560000000000003,24,8,69,66,5,11,57,-136,4,1388,838
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,427,3.986,14,15,75,75,18,20,52,-95,13,1702,732
97354895-8c77-4fd4-a860-32e62ea7382a 2017,448,4.217,37,13,44,14,30,5,38,-83,16,1889,953
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,377,3.623,11,18,25,12,16,12,48,-116,6,1366,644
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,384,4.4639999999999995,16,3,59,26,22,51,30,-81,11,1714,863
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,460,4.035,22,16,50,18,29,6,56,-127,14,1856,959
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,437,3.815,18,21,29,29,20,10,37,-95,12,1667,811
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,451,3.6830000000000003,17,10,35,22,14,40,52,-121,11,1661,944
