,Player Season,Player ID,Team ID,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
23,2013,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7b112545-38e6-483c-a55c-96cf6ee49cb8,21,17,89,4,0,1,887,0,38,5228
24,2013,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,a20471b4-a8d9-40c7-95ad-90cc30e46932,20,10,57,1,1,1,966,0,13,3480
25,2013,63f8a401-f308-4463-9d0b-4335b98da682,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,13,7,80,1,0,0,374,0,63,5185
26,2013,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,f0e724b0-4cbf-495a-be47-013907608da9,27,23,91,0,0,0,1080,0,38,5896
27,2013,40cda44b-2ee3-4ad1-834e-995e30db84d4,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,35,18,94,0,0,1,1056,0,48,6118
28,2014,596c4000-ede5-45b0-8336-33efeb686d2b,4809ecb0-abd3-451d-9c4a-92a90b83ca06,33,15,85,1,0,1,1237,0,37,5448
29,2014,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,23,16,99,0,0,1,955,0,53,6328
30,2014,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,37,15,81,1,0,0,1123,0,37,5316
31,2014,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,21,14,88,2,0,1,601,0,60,5704
32,2014,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,82d2d380-3834-4938-835f-aec541e5ece7,33,12,86,2,0,0,1144,0,40,5613
33,2014,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,d26a1ca5-722d-4274-8f97-c92e49c96315,20,5,63,3,0,0,823,0,31,3967
34,2014,6444feb1-f5a4-4b45-9a45-79308a4445fd,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,22,10,91,0,0,0,706,0,64,5981
35,2014,d96ff17c-841a-4768-8e08-3a4cfcb7f717,6680d28d-d4d2-49f6-aace-5292d3ec02c2,29,16,80,1,0,0,1278,0,26,5085
36,2014,480277d1-47c9-44df-969e-038a84cd0fea,1c1cec48-6352-4556-b789-35304c1a6ae1,17,4,61,6,0,1,683,0,34,3723
37,2014,beb64618-614c-49f7-a3aa-c0c75b7839ea,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,28,16,98,3,1,0,905,0,52,6175
38,2014,4b99ead5-0f79-4899-84a7-075c08890698,386bdbf9-9eea-4869-bb9a-274b0bc66e80,38,20,98,0,0,0,1183,0,46,6401
39,2014,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,22052ff7-c065-42ee-bc8f-c4691c50e624,15,4,54,1,0,0,787,0,18,3309
40,2014,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7b112545-38e6-483c-a55c-96cf6ee49cb8,16,14,53,2,0,1,524,0,21,3179
41,2014,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,a20471b4-a8d9-40c7-95ad-90cc30e46932,36,14,102,4,0,2,1380,0,41,6288
42,2014,63f8a401-f308-4463-9d0b-4335b98da682,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,15,7,79,0,0,0,584,0,61,5196
43,2014,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,f0e724b0-4cbf-495a-be47-013907608da9,23,12,73,1,0,0,907,0,32,4721
44,2014,0d1171d4-c955-4966-9257-640b569866d1,de760528-1dc0-416a-a978-b510d20692ff,35,10,76,1,0,0,967,0,38,5054
45,2014,40cda44b-2ee3-4ad1-834e-995e30db84d4,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,35,18,88,0,0,0,1013,0,46,5728
46,2015,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,21,10,42,0,0,1,495,1,20,2742
47,2015,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,20,15,99,2,2,0,526,3,69,6249
48,2015,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,34,20,89,1,0,0,1041,1,42,5786
